,R2OOS,R2OOS_Reduction,R2OOS_Normalized
adm,0.11551899579889457,0.0,0.0
acc,0.11551899579889457,0.0,0.0
agr,0.11551899579889457,0.0,0.0
alm,0.11551899579889457,0.0,0.0
shrcd,0.11551899579889457,0.0,0.0
cash,0.11551899579889457,0.0,0.0
cashdebt,0.11551899579889457,0.0,0.0
cfp,0.11551899579889457,0.0,0.0
chcsho,0.11551899579889457,0.0,0.0
chpm,0.11551899579889457,0.0,0.0
chtx,0.11551899579889457,0.0,0.0
depr,0.11551899579889457,0.0,0.0
nincr,0.11551899579889457,0.0,0.0
gma,0.11551899579889457,0.0,0.0
lev,0.11551899579889457,0.0,0.0
lgr,0.11551899579889457,0.0,0.0
ni,0.11551899579889457,0.0,0.0
noa,0.11551899579889457,0.0,0.0
pctacc,0.11551899579889457,0.0,0.0
rd_sale,0.11551899579889457,0.0,0.0
rdm,0.11551899579889457,0.0,0.0
rna,0.11551899579889457,0.0,0.0
roe,0.11551899579889457,0.0,0.0
rsup,0.11551899579889457,0.0,0.0
ntis,0.11551899579889457,0.0,0.0
grltnoa,0.11551899579889457,0.0,0.0
cinvest,0.11551899579889457,0.0,0.0
ato,0.11551899579889457,0.0,0.0
abr,0.11551899579889457,0.0,0.0
hire,0.11551899579889457,0.0,0.0
baspread,0.11551899579889457,0.0,0.0
beta,0.11551899579889457,0.0,0.0
ill,0.11551899579889457,0.0,0.0
sue,0.11551899579889457,0.0,0.0
mom36m,0.11551899579889457,0.0,0.0
mom60m,0.11551899579889457,0.0,0.0
mom6m,0.11551899579889457,0.0,0.0
re,0.11551899579889457,0.0,0.0
maxret,0.11551899579889457,0.0,0.0
exchcd,0.11551899579889457,0.0,0.0
std_dolvol,0.11551899579889457,0.0,0.0
dolvol,0.11551899579889457,0.0,0.0
std_turn,0.11551899579889457,0.0,0.0
zerotrade,0.11551899579889457,0.0,0.0
turn,0.11551899579889457,0.0,0.0
seas1a,0.11553536845151258,1.6372652618001915e-05,4.817178641072878e-05
sgr,0.11549905404875216,1.9941750142415948e-05,5.8672821743030084e-05
op,0.11556576721255163,4.677141365705406e-05,0.0001376113328354737
tbl,0.11557320315050801,5.4207351613433374e-05,0.00015948942573559957
bm,0.11559353313664811,7.4537337753533e-05,0.00021930451941181727
mom12m,0.11544267437915356,7.632141974101003e-05,0.00022455366372857127
mom1m,0.11542051394668529,9.848185220928674e-05,0.00028975431536015035
rvar_mean,0.1154092901349788,0.00010970566391577119,0.000322777129247042
ffi49,0.11533517002831539,0.00018382577057918237,0.0005408540670673971
sp,0.11532400425446632,0.00019499154442825795,0.0005737061213751254
roa,0.1152843261787756,0.00023466962011897685,0.0006904473625140522
ep,0.11576523540885353,0.00024623960995895366,0.0007244887052548647
dy,0.11578011224419527,0.0002611164453006909,0.0007682594827379091
pm,0.11586446084443403,0.00034546504553945034,0.0010164307992341687
rvar_ff3,0.11477634323603458,0.0007426525628599911,0.002185039985282343
me,0.1164660858083395,0.0009470900094449286,0.0027865379368370146
rvar_capm,0.11425810689029747,0.001260888908597102,0.0037098002754796743
tms,0.11377368214088834,0.0017453136580062312,0.005135079740271446
pscore,0.11741369328319773,0.0018946974843031539,0.005574598365718895
me_ia,0.11213522902873507,0.003383766770159502,0.009955753286832854
bm_ia,0.11208501040101848,0.0034339853978760937,0.01010350704822053
herf,0.11104375463260308,0.004475241166291499,0.01316710044663513
b/m,0.10771653752794252,0.007802458270952051,0.02295647272780135
dfy,0.10728047011474529,0.00823852568414929,0.02423947474215545
d/p,0.021352255389917474,0.0941667404089771,0.2770583491760038
svar,0.019113268220262825,0.09640572757863175,0.28364592018416024
e/p,0.0020981944990217105,0.11342080129987286,0.33370784455194535
adm,0.1247065768751835,0.0,0.0
bm,0.1247065768751835,0.0,0.0
agr,0.1247065768751835,0.0,0.0
alm,0.1247065768751835,0.0,0.0
shrcd,0.1247065768751835,0.0,0.0
cash,0.1247065768751835,0.0,0.0
cashdebt,0.1247065768751835,0.0,0.0
cfp,0.1247065768751835,0.0,0.0
chcsho,0.1247065768751835,0.0,0.0
chpm,0.1247065768751835,0.0,0.0
chtx,0.1247065768751835,0.0,0.0
depr,0.1247065768751835,0.0,0.0
gma,0.1247065768751835,0.0,0.0
grltnoa,0.1247065768751835,0.0,0.0
lev,0.1247065768751835,0.0,0.0
lgr,0.1247065768751835,0.0,0.0
ni,0.1247065768751835,0.0,0.0
noa,0.1247065768751835,0.0,0.0
pctacc,0.1247065768751835,0.0,0.0
rd_sale,0.1247065768751835,0.0,0.0
rdm,0.1247065768751835,0.0,0.0
rna,0.1247065768751835,0.0,0.0
rsup,0.1247065768751835,0.0,0.0
sgr,0.1247065768751835,0.0,0.0
sp,0.1247065768751835,0.0,0.0
ntis,0.1247065768751835,0.0,0.0
acc,0.1247065768751835,0.0,0.0
nincr,0.1247065768751835,0.0,0.0
ato,0.1247065768751835,0.0,0.0
sue,0.1247065768751835,0.0,0.0
hire,0.1247065768751835,0.0,0.0
baspread,0.1247065768751835,0.0,0.0
ill,0.1247065768751835,0.0,0.0
maxret,0.1247065768751835,0.0,0.0
cinvest,0.1247065768751835,0.0,0.0
mom36m,0.1247065768751835,0.0,0.0
mom60m,0.1247065768751835,0.0,0.0
re,0.1247065768751835,0.0,0.0
seas1a,0.1247065768751835,0.0,0.0
exchcd,0.1247065768751835,0.0,0.0
abr,0.1247065768751835,0.0,0.0
dolvol,0.1247065768751835,0.0,0.0
turn,0.1247065768751835,0.0,0.0
zerotrade,0.1247065768751835,0.0,0.0
op,0.12470980729170211,3.2304165186181066e-06,9.865416447430119e-06
ffi49,0.12469364236019753,1.2934514985962764e-05,3.9500905269217246e-05
std_dolvol,0.12469168416079013,1.4892714393366369e-05,4.548107919719462e-05
std_turn,0.12474247396936744,3.589709418394538e-05,0.00010962666310557845
mom6m,0.12466592856673175,4.064830845174061e-05,0.0001241364661333387
mom1m,0.12466447697072891,4.209990445458445e-05,0.0001285695164842592
mom12m,0.12460073553757844,0.00010584133760505043,0.0003232304152758414
pscore,0.12484670981727097,0.00014013294208747862,0.0004279540498040701
rvar_mean,0.12453154952678169,0.00017502734840180167,0.0005345185896993443
ep,0.12488208673018741,0.00017550985500391914,0.000535992123697542
