,R2OOS,R2OOS_Reduction,R2OOS_Normalized
adm,0.0843100230792313,0.0,0.0
cashdebt,0.0843100230792313,0.0,0.0
cfp,0.0843100230792313,0.0,0.0
chcsho,0.0843100230792313,0.0,0.0
chpm,0.0843100230792313,0.0,0.0
chtx,0.0843100230792313,0.0,0.0
depr,0.0843100230792313,0.0,0.0
ep,0.0843100230792313,0.0,0.0
gma,0.0843100230792313,0.0,0.0
grltnoa,0.0843100230792313,0.0,0.0
lev,0.0843100230792313,0.0,0.0
lgr,0.0843100230792313,0.0,0.0
ni,0.0843100230792313,0.0,0.0
noa,0.0843100230792313,0.0,0.0
op,0.0843100230792313,0.0,0.0
pctacc,0.0843100230792313,0.0,0.0
pm,0.0843100230792313,0.0,0.0
rd_sale,0.0843100230792313,0.0,0.0
ffi49,0.0843100230792313,0.0,0.0
tms,0.0843100230792313,0.0,0.0
dfy,0.0843100230792313,0.0,0.0
d/p,0.0843100230792313,0.0,0.0
ntis,0.0843100230792313,0.0,0.0
tbl,0.0843100230792313,0.0,0.0
cash,0.0843100230792313,0.0,0.0
b/m,0.0843100230792313,0.0,0.0
sgr,0.0843100230792313,0.0,0.0
rsup,0.0843100230792313,0.0,0.0
roe,0.0843100230792313,0.0,0.0
roa,0.0843100230792313,0.0,0.0
rna,0.0843100230792313,0.0,0.0
rdm,0.0843100230792313,0.0,0.0
sp,0.0843100230792313,0.0,0.0
shrcd,0.0843100230792313,0.0,0.0
ato,0.0843100230792313,0.0,0.0
agr,0.0843100230792313,0.0,0.0
re,0.0843100230792313,0.0,0.0
mom6m,0.0843100230792313,0.0,0.0
mom60m,0.0843100230792313,0.0,0.0
mom36m,0.0843100230792313,0.0,0.0
mom1m,0.0843100230792313,0.0,0.0
mom12m,0.0843100230792313,0.0,0.0
alm,0.0843100230792313,0.0,0.0
maxret,0.0843100230792313,0.0,0.0
beta,0.0843100230792313,0.0,0.0
baspread,0.0843100230792313,0.0,0.0
me_ia,0.0843100230792313,0.0,0.0
hire,0.0843100230792313,0.0,0.0
herf,0.0843100230792313,0.0,0.0
bm_ia,0.0843100230792313,0.0,0.0
ill,0.0843100230792313,0.0,0.0
rvar_ff3,0.0843100230792313,0.0,0.0
rvar_capm,0.0843100230792313,0.0,0.0
seas1a,0.0843100230792313,0.0,0.0
bm,0.0843100230792313,0.0,0.0
acc,0.0843100230792313,0.0,0.0
pscore,0.0843100230792313,0.0,0.0
nincr,0.0843100230792313,0.0,0.0
