,R2OOS,R2OOS_Reduction,R2OOS_Normalized
exchcd,0.08196706069961257,0.0,0.0
roa,0.08196706069961257,0.0,0.0
rna,0.08196706069961257,0.0,0.0
rd_sale,0.08196706069961257,0.0,0.0
pctacc,0.08196706069961257,0.0,0.0
ni,0.08196706069961257,0.0,0.0
lgr,0.08196706069961257,0.0,0.0
lev,0.08196706069961257,0.0,0.0
gma,0.08196706069961257,0.0,0.0
chtx,0.08196706069961257,0.0,0.0
cash,0.08196706069961257,0.0,0.0
acc,0.08196706069961257,0.0,0.0
nincr,0.08196706069961257,0.0,0.0
sue,0.08196706069961257,0.0,0.0
agr,0.08196706069961257,0.0,0.0
shrcd,0.08196706069961257,0.0,0.0
adm,0.08196706069961257,0.0,0.0
hire,0.08196706069961257,0.0,0.0
mom60m,0.08196706069961257,0.0,0.0
re,0.08196731267884938,2.519792368094187e-07,3.2455461544010583e-06
sgr,0.08196597347563905,1.0872239735171263e-06,1.4003675981009444e-05
chpm,0.08196826317093231,1.2024713197389403e-06,1.548808630811126e-05
cashdebt,0.08196871459314858,1.6538935360133067e-06,2.1302500450291522e-05
alm,0.08196534678590928,1.71391370329399e-06,2.20755729683723e-05
rsup,0.08196507412287102,1.9865767415527813e-06,2.5587530883926437e-05
ffi49,0.08196943260978573,2.3719101731600745e-06,3.055070742557579e-05
chcsho,0.08196971213980886,2.6514401962884904e-06,3.415111356653985e-05
ato,0.08196978678390754,2.726084294968345e-06,3.5112545430873845e-05
noa,0.08196990535961224,2.8446599996678756e-06,3.6639825722956115e-05
pscore,0.08197050577879017,3.4450791775997303e-06,4.437335241602742e-05
zerotrade,0.0819634200418159,3.640657796677438e-06,4.6892446620248764e-05
seas1a,0.08197106042040403,3.999720791458827e-06,5.15172543490771e-05
rdm,0.08197353323604017,6.4725364276041475e-06,8.336764559581439e-05
cfp,0.08197366630371683,6.605604104259477e-06,8.508158556845758e-05
cinvest,0.08197444127333431,7.38057372173806e-06,9.506335904167281e-05
beta,0.08195810667592518,8.954023687390844e-06,0.00011532972919910472
rvar_capm,0.08195674659236418,1.0314107248388105e-05,0.0001328478946914361
ntis,0.08195035801046269,1.6702689149883376e-05,0.00021513418813773466
dy,0.08198388908895415,1.682838934158326e-05,0.0002167532333374294
grltnoa,0.08198629908461685,1.923838500428321e-05,0.0002477944899672958
depr,0.08198890345723353,2.1842757620960107e-05,0.0002813393630993474
abr,0.08194389986632777,2.3160833284796567e-05,0.00029831645794311645
maxret,0.0819366848166353,3.0375882977273783e-05,0.0003912478322886263
ep,0.08192835448227898,3.870621733359503e-05,0.0004985443102737633
std_turn,0.0819134300151314,5.363068448116515e-05,0.0006907746208763653
mom1m,0.08190842063478065,5.8640064831916305e-05,0.0007552965050568833
baspread,0.08190840613679451,5.865456281806125e-05,0.0007554832422014794
mom6m,0.08190717074829457,5.988995131800401e-05,0.0007713953087905732
tms,0.08204300945742327,7.594875781069543e-05,0.0009782361513797004
roe,0.08204935684987524,8.22961502626729e-05,0.0010599919159571243
bm,0.08187870509748407,8.835560212849813e-05,0.0011380389445533007
std_dolvol,0.08187072915536275,9.633154424981694e-05,0.0012407707751888163
sp,0.08209516812266215,0.00012810742304958378,0.0016500508513853265
